timestamp,flow,source_ip,destination_ip,packets,bytes
2026-06-18 14:52:13,attacker_to_bank,10.0.0.2,10.0.1.2,5,490
2026-06-18 14:52:13,bank_to_attacker,10.0.1.2,10.0.0.2,5,490
2026-06-18 14:52:35,attacker_to_bank,10.0.0.2,10.0.1.2,10,980
2026-06-18 14:52:35,bank_to_attacker,10.0.1.2,10.0.0.2,10,980
2026-06-18 15:56:59,attacker_to_bank,10.0.0.2,10.0.1.2,3,294
2026-06-18 15:56:59,bank_to_attacker,10.0.1.2,10.0.0.2,3,294
2026-06-19 00:02:06,attacker_to_bank,10.0.0.2,10.0.1.2,14,1372
2026-06-19 00:02:06,bank_to_attacker,10.0.1.2,10.0.0.2,14,1372
2026-06-19 00:02:09,attacker_to_bank,10.0.0.2,10.0.1.2,18,1764
2026-06-19 00:02:09,bank_to_attacker,10.0.1.2,10.0.0.2,18,1764
2026-06-19 00:02:13,attacker_to_bank,10.0.0.2,10.0.1.2,21,2058
2026-06-19 00:02:13,bank_to_attacker,10.0.1.2,10.0.0.2,21,2058
2026-06-19 00:04:56,attacker_to_bank,10.0.0.2,10.0.1.2,151,14798
2026-06-19 00:04:56,bank_to_attacker,10.0.1.2,10.0.0.2,151,14798
